drug,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
.ALPHA.-TOCOPHEROL ACETATE\ASCORBIC ACID\BIOTIN\CHOLECALCIFEROL\CYANOCOBALAMIN\DEXPANTHENOL\FOLIC ACID\NIACINAMIDE\PHYTONADIONE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN 5^-PHOSPHATE SODIUM\THIAMINE HYDROCHLORIDE\VITAMIN A PALMITATE,-0.018370405,-0.024509663,-0.016507763,-0.009411107,-0.018771224,-0.03915071,-0.0022024089,-0.024171587,-0.014565856,-0.013064697,0.009059436,-0.0034300254,-0.013169962,0.026636483,-0.010416626,-0.01903689,0.0068220473,-0.014964512,-0.008541822,0.02538905,-0.015401283,-0.012711089,0.017731883,0.0020040458,0.00093130104,-0.032863032,0.006789628,0.03095226,0.0019117182,-0.012061663,-0.0015566534,-0.020558607,-0.0044125225,0.008219565,-0.0059555746,0.003758216,0.0025807263,0.01318929,-0.027683219,0.04470613,0.005167155,-6.9794805e-05,-0.0331213,0.016306456,0.0029252523,0.039753255,0.005020015,-0.02298534,0.00878463,-0.0019788146,-0.0045362753,-0.0032899627,-0.016057033,-0.03222929,0.009177538,-0.0028412405,0.014595599,0.018332407,-0.008679388,-0.003395077,-0.0051248367,0.015286165,-0.011345238,-0.023539605
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,-0.02142481,0.027185721,-0.038425162,0.014581678,-0.11098918,-0.010679918,-0.09055468,0.060357563,-0.059565924,0.032775093,-0.061052665,-0.0075910813,0.086165056,0.031636685,0.07666749,0.017299872,0.07760383,0.09798476,-0.080256194,-0.03313771,0.060039192,0.054286994,0.058822166,0.15615776,0.072103046,0.021988653,0.013703496,-0.03525384,-0.07236713,0.048192874,-0.011471332,0.03531394,-0.07009242,0.0462876,0.107966505,0.017399702,-0.045203947,0.07257289,-0.03963848,0.07742715,0.07266084,0.0105295405,-0.06272888,-0.09358149,-0.09027385,0.0044328272,-0.049257703,-0.017923344,0.011766701,-0.059353754,0.07830802,-0.028548535,-0.12777732,-0.012219497,-0.039797187,0.028390259,0.06099143,-0.04039921,-0.052296646,-0.040325996,-0.024984643,0.07179019,-0.024525953,0.117883705
.DELTA.8-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,0.006715909,-0.0034527616,0.015622737,-0.0074660517,0.018591106,0.017185798,0.0028664828,0.0064338907,-0.003505996,-0.005138478,0.0376626,-0.020339504,-0.021442581,0.001208233,-0.025197288,0.005603981,-0.03805689,-0.016034383,0.031824913,0.0045254095,-0.019297244,-0.014968132,0.0031730407,-0.040609933,-0.014243479,0.0050128317,0.007764758,0.018619923,-4.711486e-05,-0.017916841,0.032625906,-4.313666e-05,0.022517676,0.0030025442,-0.015886063,-0.015349245,0.019574419,-0.0017094681,-0.004369517,-0.034112588,-0.025466394,0.0068802717,0.02164256,0.017794,0.0038102374,0.012389641,0.0011416287,-0.00148937,-0.0014720181,0.002097346,-0.035388272,0.0030908105,0.013747658,-0.014637052,0.012609109,-0.01075891,-0.0046282164,0.008267227,0.0022196856,0.011858312,-0.0011464285,-0.020285279,-0.009153786,-0.016744575
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,0.014796688,0.0065787467,0.0032957124,-0.013184976,0.0232437,-0.00010472398,-0.003230311,-0.0052466365,-0.00046206178,-0.00325178,-0.0028628046,0.0067052436,-0.008643572,-0.015030683,0.0017539684,0.004200484,-0.016329143,-0.016181188,0.02235415,0.0033177931,0.019075941,-0.032161187,-0.0124780955,-0.020876084,-0.01209792,-0.008569676,0.03189322,-0.005647355,0.0019255271,-0.031021295,0.008045493,-0.016918171,-0.00014401716,-0.0058516776,-0.024448013,-0.011260018,0.005769748,-0.010733246,0.011112427,-0.0293308,-0.021113696,0.017292267,0.0025613373,0.002734492,0.034710426,0.032383155,-0.0029463908,0.005653331,0.028060177,0.050625984,-0.03392522,-0.01599119,-0.013381599,0.0014988522,0.01345625,-0.015022581,0.015616945,0.008163392,0.027361128,0.0049539628,0.014251651,0.02790016,-0.0043590446,-0.010530447
.DELTA.8-TETRAHYDROCANNABIPHOROL\HERBALS,0.011645362,0.0063047665,-0.010530163,-0.0036459756,0.019890824,0.015762398,-0.0034941589,-0.016519524,0.016576031,-0.009961397,0.008520369,-0.002978901,-0.018990003,-0.0058118333,-0.0221396,0.010316807,-0.033681836,-0.038403533,0.015611838,0.00024045432,-0.0061553293,-0.021631593,0.0068529607,-0.06440582,0.0016525019,-0.0018241771,0.0042489665,0.0035417995,0.028311186,-0.012968672,0.017889729,-0.007216264,0.018412888,0.007204615,-0.018708972,-0.018604197,0.016412761,-0.0067628073,-0.0025868388,-0.004897033,-0.016948124,0.0014358055,0.02123669,0.014927895,-0.0062279333,0.018559184,0.0062951534,-0.0047711274,0.015243085,0.0055759344,-0.03316283,-0.00028171114,0.0077138734,-0.00069609925,0.018806078,-0.010235837,-8.752889e-05,0.022423172,-0.0023283518,0.008895027,0.02225002,-0.015748432,-0.0057325824,-0.007921809
.DELTA.9-TETRAHYDROCANNABINOL ACETATE\CANNABIDIOL\HERBALS,0.008227323,-0.027416803,0.013209325,-0.007314924,0.0010968838,-0.022484912,-0.022364821,-0.037789114,0.00393169,-0.03030655,0.025977515,-0.0037161282,0.009713855,-0.008990364,-0.025993422,-0.029282324,-0.023866346,-0.032528955,0.024504283,-0.007429883,-0.03398815,-0.047110308,0.008395914,-0.018913645,-0.009215608,-0.003999215,0.014449301,0.009758265,0.029761387,0.005756515,0.010287231,-0.013382296,0.0068312525,0.0040411213,-0.030073585,-0.01974116,0.0074739647,0.0074995174,-0.009753979,-0.012612095,-0.011483082,0.025070453,-0.0051834714,0.03816538,-0.018589407,-0.0037648268,-0.009349344,0.008952335,0.013905987,0.0017262187,-0.016881876,-0.020069357,0.011971033,-0.011626319,0.004526075,0.00035915946,0.005481456,0.010225876,-0.011191137,0.03618493,-0.011157607,-0.0026213557,-0.0054036537,-0.026743675
.DELTA.9-TETRAHYDROCANNABINOLIC ACID\HERBALS,0.0075580883,-0.0013630779,0.00093812385,-0.0014917887,0.03329502,0.003609513,-0.0012285265,-0.028799163,-0.02274506,-0.011252925,0.031181067,-0.011073108,-0.008709414,-0.02024215,-0.045783706,0.009078704,-0.007181645,-0.022941995,0.018418575,-0.011684491,-0.025368476,-0.037843037,-0.0062408103,-0.049795978,0.007066206,0.0059674536,0.002989151,-0.0024735704,0.013068039,-0.006018345,0.005008747,-0.03280547,0.035926107,-0.0162135,-0.011388836,-0.023619313,0.020564927,-0.009899431,0.0019797478,-0.016736632,-0.03236086,0.01893327,0.019717803,0.024565484,0.0020391748,0.00010477715,-0.009172713,0.005195256,0.0043128496,0.0110678105,-0.011435723,0.00039734252,0.027948331,-0.02784246,-0.0014420677,-0.016730038,0.010490968,0.0042571034,-0.009231394,0.0049623223,-0.005025211,-0.001050487,-0.010083058,-0.037024923
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,0.0014654057,0.020768736,0.010932123,-0.014262438,0.01298418,-0.013400454,-0.021375706,0.005720895,0.014756252,-0.011967237,-0.0035291763,0.020633193,0.004388571,-0.01699901,-0.024249323,0.0022513946,-0.033895075,-0.014618356,0.036449358,-0.017356956,-0.011382953,-0.051098716,0.020345706,-0.047754906,0.01086921,-0.00056695676,0.0058632,-0.012697919,0.021165922,0.00041988498,0.0063071186,-0.008261753,0.018676959,0.0023032434,-0.029474119,-0.015933234,0.009443572,0.004705783,0.006302547,-0.005059228,-0.022566888,0.019930677,0.014589318,0.027087035,0.0018475893,0.03021359,0.0018722755,0.021947099,-0.006419241,0.016250243,-0.030018415,0.0068460368,0.022999452,0.0107433805,0.031639174,0.0038190256,-0.0057485313,0.013778751,-0.015132437,0.016667051,-0.00090072275,-0.028359428,-0.013236439,-0.0025268013
.DELTA.9-TETRAHYDROCANNABINOL\HERBALS,0.0018751554,0.0058406624,0.0028655434,-0.012080559,0.03702666,0.00448617,-0.034184143,-0.0154439835,-0.011351563,-0.027306339,-0.0107025495,0.027036853,-0.01615946,-0.030958446,-0.015703415,-0.0046903626,-0.038329396,-0.026146429,0.04124228,-0.018424986,0.0044643274,-0.042553335,0.001986921,-0.03850698,-0.0019501591,-0.006424262,-0.00035565443,-0.003095199,0.0192107,-0.004416168,0.01749183,0.007244108,0.027259788,-0.009311269,-0.025927518,-0.014279258,-0.006192108,-0.025068533,0.010229855,-0.006887195,-0.012611902,0.009028436,0.015606889,0.011576334,0.017691353,0.020655962,0.013585034,0.00079007575,0.03433828,0.034198545,-0.016048258,-0.020898132,-0.015444423,0.019933257,0.023528865,-0.017829744,0.0047908253,0.00909087,-0.010017323,0.013541294,0.0063574314,-0.02053789,-0.014286298,0.0141523685
7-HYDROXYMITRAGYNINE,0.0244727,-0.0067220186,0.026744371,-0.029870408,0.03367332,0.028986324,0.017239083,-0.0070057884,-0.0035291126,-0.019177826,0.037751235,0.017687574,-0.007256994,0.0002648695,-0.0073092966,0.0013091508,-0.017949015,-0.036937695,0.029996388,0.004163715,-0.0058328183,-0.012067537,0.013625656,-0.051083617,-0.043407023,0.006692799,0.023321185,0.023384703,0.025886621,-0.006930493,0.014466985,0.011711357,0.04699909,0.017041598,0.0016571762,-0.0057539023,0.022731889,-0.0021736622,0.01617526,-0.034256388,-0.03687337,-0.0014792137,0.0024109788,0.031652138,-0.0018734663,0.015231493,0.004036964,-0.01093327,-0.0045030657,0.014893154,-0.03560166,0.012271697,0.014606214,-0.0031879907,0.030718504,-0.0031802296,-0.0006373756,0.0011513127,-0.0029632282,0.021639787,0.02264422,-0.032509867,0.005617674,-0.016184948
ABACAVIR,-0.0013927306,-0.003942892,0.002996258,-0.0051555834,0.007234612,0.00917994,0.006737605,-0.008648286,0.014987741,0.006475177,-0.016024353,0.0026202237,0.012288244,-0.0067699323,-0.009732831,-0.0037225578,-0.009499057,-0.0142728025,0.015662525,-0.0154116945,-0.020374512,0.009362594,0.013117344,-0.003779221,-0.0069358633,-0.0020001607,0.0020298727,-0.0022572326,-0.0017458185,-0.011586523,0.011536005,0.013277305,0.0053221383,-0.0022815794,-0.009359612,-1.1386061e-05,-0.013265076,0.0066697933,0.008029463,0.001877925,-0.015897019,0.00061695377,-0.007820178,-0.0009216357,-0.00088516413,-0.012284298,0.014163776,0.002654099,0.004779659,0.009898848,0.00092791306,-0.0024609657,0.010069169,0.021211935,0.014274227,-0.0019970844,-0.00021660689,0.008283336,-0.0113748275,-0.0016089506,0.0028584183,-0.0035160314,-0.01958515,-0.006014602
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE,0.029390117,0.00929725,0.016270159,-0.023391992,0.03774219,0.01285054,-0.014710406,0.0070594754,0.0030253895,-0.022432096,-0.0019252362,0.02824124,0.0023565353,-0.041679766,-0.030660972,0.007154547,-0.033665422,-0.047028013,0.04287969,-0.030788677,-0.005397925,-0.051504776,0.00080044224,-0.0207387,-0.02526245,-0.036732405,-0.0106577,-0.0018233311,0.016593859,-0.046909977,0.015953278,-0.0010056141,0.04046543,-0.018390134,-0.028309759,0.011067872,-0.014620846,-0.024869002,0.003563322,0.00012228085,0.009097113,0.023056738,0.011754303,0.03815934,0.019313278,0.022580132,-0.008374178,0.020461908,0.02119421,0.039933685,-0.007828288,-0.001478421,-0.017459467,0.011363034,0.016297767,-0.0063120546,0.005353112,0.012248285,-0.016017854,-0.0057626315,-0.010240358,-0.027221443,-0.0068337363,0.00972091
ABACAVIR SULFATE\LAMIVUDINE,0.0058007315,0.012752402,0.011058711,-0.007102415,0.005181023,0.009031708,0.013143371,-0.0062420093,0.010014988,-0.0051223277,0.003024729,0.0077392175,-0.02023792,-0.0068602776,-0.012387695,-0.0064094136,-0.008824806,-0.0180795,0.0033557531,0.009954367,0.0018147532,0.015664607,0.017207695,-0.010772004,0.0019419945,0.00265924,-0.0007544589,0.017178398,0.0116623,-0.012582269,-0.0067585064,0.022656359,0.031100417,0.020718211,-0.0015700115,-0.004543085,-0.0030416374,0.014353235,0.002251946,-0.025373276,0.016309742,-0.018836396,-0.00045992457,0.00765827,-0.0046487194,0.023786446,-0.0023363882,-0.016630437,0.014239237,0.018478544,0.0015312728,0.0056202086,-0.010014801,0.00069885,0.0029512448,0.019517303,-0.011718668,-0.0003382933,0.008201365,-0.00749244,0.015423019,-0.014460484,-0.002207288,-0.012561431
ABACAVIR\LAMIVUDINE,-0.0032402293,-0.0015297119,0.027370434,-0.015963992,-0.0031987606,-0.016020631,0.030380215,-0.004945343,0.0026250875,-0.0029498239,0.02623946,0.0040739817,-0.017990284,0.011124414,0.010987994,-0.01857381,-0.017695328,-0.027313652,-0.004912878,0.0012401196,0.0029323834,-0.010531778,-0.008168358,0.00081130414,-0.016420895,-0.012967329,-0.0032459358,0.022340706,0.02106227,-0.02212129,0.012927857,0.0013141488,0.019589098,0.016407255,0.00037642423,-0.012339368,0.006017555,0.006836569,0.004453373,-0.016455509,-0.008302306,-0.017577555,-0.015315734,0.012543695,0.015519188,0.00909136,-0.014536242,-0.0339026,0.027291752,-8.258873e-05,-0.016121656,0.007840755,0.0014072779,0.0017999755,0.018630847,-0.018472053,-0.016509341,-0.0005974902,0.0062484615,0.012411772,0.023032175,-0.017051753,0.0015982754,-0.0012564526
ABALOPARATIDE,-0.030449186,-0.017263059,-0.013039692,0.0145463925,-0.07693812,-0.05683416,0.051834237,0.009775229,0.0038785113,0.022174662,-0.0031072288,-0.02030363,-0.028014788,0.017712662,0.056557074,-0.021413587,0.07870101,0.035337225,-0.07971148,0.032944504,0.018105945,-8.535766e-06,0.0006896803,0.102346554,0.0366332,-0.030867439,-0.02217584,0.024384312,-0.032679524,-0.0035935708,-0.046647973,0.023943303,-0.053374015,0.013370264,-0.0035396547,-0.0074910517,-0.00818216,0.030328466,-0.02717623,0.037283137,0.07530279,-0.052143566,-0.039225567,0.0014443492,-0.0018518729,-0.0025220427,0.035715118,0.0073620416,-0.017132485,-0.021290218,0.017777316,-0.013371439,0.0074012824,-0.0052417656,-0.046405353,-0.018643433,-0.033574477,-0.022756604,0.025611237,-0.0026196458,0.01175112,0.0026819983,0.0055139936,0.03434965
ABATACEPT,0.08462632,-0.005732435,0.017240316,0.041676182,-0.040275592,-0.039644115,0.06518475,0.02086298,-0.043850105,-0.03982602,-0.055349853,0.003012982,0.007873698,0.04788233,0.025390157,-0.014783158,0.02494366,0.09716758,-0.07749282,-0.04557604,0.042853437,-0.006851322,0.025035089,0.11541905,0.013679187,-0.020153718,-0.005300227,0.039006572,-0.033189513,-0.019478543,-0.016967019,0.032141246,-0.016094808,0.072115056,0.015229729,-0.017493779,-0.015005444,0.029232731,-0.014347717,0.038139727,0.07791761,-0.0018602486,-0.045690604,-0.10767052,-0.048044767,0.0030740032,-0.020587295,0.05251426,0.03402541,0.019357199,0.007810071,0.032187752,-0.030462673,0.017571623,-0.10701175,-0.024938729,0.019017473,-0.06329397,-0.01812339,-0.025571372,-0.02397154,0.09980446,0.005161361,0.043304577
